2020-11-18 08:27:27 status config-files dirmngr:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 status installed gnupg-l10n:all 2.2.12-1+deb10u1
2020-11-18 08:27:27 remove gnupg-l10n:all 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:27 status half-configured gnupg-l10n:all 2.2.12-1+deb10u1
2020-11-18 08:27:27 status half-installed gnupg-l10n:all 2.2.12-1+deb10u1
2020-11-18 08:27:27 status config-files gnupg-l10n:all 2.2.12-1+deb10u1
2020-11-18 08:27:27 status not-installed gnupg-l10n:all <none>
2020-11-18 08:27:27 status installed gnupg-utils:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 remove gnupg-utils:amd64 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:27 status half-configured gnupg-utils:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 status half-installed gnupg-utils:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 status config-files gnupg-utils:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 status not-installed gnupg-utils:amd64 <none>
2020-11-18 08:27:27 status installed gpg-wks-server:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 remove gpg-wks-server:amd64 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:27 status half-configured gpg-wks-server:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 status half-installed gpg-wks-server:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 status config-files gpg-wks-server:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 status not-installed gpg-wks-server:amd64 <none>
2020-11-18 08:27:27 status installed gpg:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 remove gpg:amd64 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:27 status half-configured gpg:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 status half-installed gpg:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 status config-files gpg:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 status not-installed gpg:amd64 <none>
2020-11-18 08:27:28 status installed gpg-agent:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 remove gpg-agent:amd64 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:28 status half-configured gpg-agent:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 status half-installed gpg-agent:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 status config-files gpg-agent:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 status installed gpgsm:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 remove gpgsm:amd64 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:28 status half-configured gpgsm:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 status half-installed gpgsm:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 status config-files gpgsm:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 status not-installed gpgsm:amd64 <none>
2020-11-18 08:27:28 status installed gpgconf:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 remove gpgconf:amd64 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:28 status half-configured gpgconf:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 status half-installed gpgconf:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 status config-files gpgconf:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 status not-installed gpgconf:amd64 <none>
2020-11-18 08:27:28 status installed pinentry-curses:amd64 1.1.0-2
2020-11-18 08:27:28 remove pinentry-curses:amd64 1.1.0-2 <none>
2020-11-18 08:27:28 status half-configured pinentry-curses:amd64 1.1.0-2
2020-11-18 08:27:28 status half-installed pinentry-curses:amd64 1.1.0-2
2020-11-18 08:27:28 status config-files pinentry-curses:amd64 1.1.0-2
2020-11-18 08:27:28 status not-installed pinentry-curses:amd64 <none>
2020-11-18 08:27:28 status installed libassuan0:amd64 2.5.2-1
2020-11-18 08:27:28 remove libassuan0:amd64 2.5.2-1 <none>
2020-11-18 08:27:28 status triggers-pending libc-bin:amd64 2.28-10
2020-11-18 08:27:28 status half-configured libassuan0:amd64 2.5.2-1
2020-11-18 08:27:28 status half-installed libassuan0:amd64 2.5.2-1
2020-11-18 08:27:28 status config-files libassuan0:amd64 2.5.2-1
2020-11-18 08:27:28 status not-installed libassuan0:amd64 <none>
2020-11-18 08:27:28 status installed libksba8:amd64 1.3.5-2
2020-11-18 08:27:28 remove libksba8:amd64 1.3.5-2 <none>
2020-11-18 08:27:28 status half-configured libksba8:amd64 1.3.5-2
2020-11-18 08:27:28 status half-installed libksba8:amd64 1.3.5-2
2020-11-18 08:27:28 status config-files libksba8:amd64 1.3.5-2
2020-11-18 08:27:28 status not-installed libksba8:amd64 <none>
2020-11-18 08:27:28 status installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:28 remove libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4 <none>
2020-11-18 08:27:28 status half-configured libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:28 status half-installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:28 status config-files libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
